frame_id,apriltag_id,track_id,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,corner4_x,corner4_y
2,0,0,401,1121,571,1120,563,943,391,949
2,0,1,726,1435,911,1447,914,1263,730,1256
2,0,2,630,487,772,482,775,334,633,342
3,0,0,402,1106,572,1104,563,926,392,933
3,0,1,725,1443,909,1455,912,1271,728,1264
3,0,2,630,487,772,482,775,334,632,342
4,0,0,402,1090,572,1087,563,909,392,917
4,0,1,723,1449,907,1461,910,1279,727,1272
4,0,2,629,487,771,482,774,334,632,342
5,0,0,403,1075,573,1070,563,892,392,902
5,0,1,722,1455,904,1468,908,1287,725,1280
5,0,2,628,487,770,482,773,334,631,342
6,0,0,404,1062,575,1054,563,875,391,887
6,0,1,720,1462,902,1474,906,1295,724,1288
6,0,2,627,487,769,482,772,334,630,342
7,0,0,403,1047,576,1038,563,859,391,873
7,0,1,719,1469,900,1480,905,1303,722,1296
7,0,2,626,487,769,482,771,334,629,342
8,0,0,402,1033,576,1022,563,843,391,858
8,0,1,718,1476,899,1487,903,1311,721,1306
8,0,2,626,487,768,482,771,334,628,342
9,0,0,401,1018,575,1008,563,828,390,842
9,0,1,717,1483,897,1494,901,1320,720,1315
9,0,2,625,487,767,482,770,334,627,342
10,0,0,400,1005,575,994,564,815,389,829
10,0,1,717,1490,895,1500,899,1328,718,1324
10,0,2,624,487,766,482,769,334,626,342
11,0,0,399,993,575,982,564,802,389,817
11,0,1,716,1497,894,1505,898,1336,718,1332
11,0,2,623,487,765,482,768,334,625,342
12,0,0,397,981,574,971,565,792,390,805
12,0,1,716,1502,893,1510,897,1342,717,1340
12,0,2,622,487,764,481,767,334,624,342
13,0,0,396,970,574,962,566,783,391,794
13,0,1,716,1506,893,1514,896,1348,717,1346
13,0,2,621,487,764,481,766,333,624,342
14,0,0,396,961,574,955,569,776,393,786
14,0,1,717,1509,893,1516,896,1353,717,1351
14,0,2,621,487,763,481,766,333,623,342
15,0,0,396,954,574,950,572,771,395,779
15,0,1,717,1511,893,1518,896,1356,717,1355
15,0,2,620,487,762,481,765,333,622,342
16,0,0,397,948,576,945,574,767,398,774
16,0,1,717,1512,892,1518,896,1359,717,1357
16,0,2,619,487,761,481,764,333,621,342
17,0,0,399,945,578,941,576,764,400,771
17,0,1,716,1512,890,1518,895,1360,717,1358
17,0,2,618,487,760,481,763,333,620,342
18,0,0,402,944,581,938,578,762,402,771
18,0,1,715,1511,889,1517,895,1361,716,1358
18,0,2,618,487,760,482,762,334,620,342
19,0,0,405,945,584,937,579,761,403,772
19,0,1,714,1510,888,1515,895,1359,716,1356
19,0,2,617,487,759,482,762,334,619,342
20,0,0,406,947,584,938,579,762,403,774
20,0,1,714,1507,887,1513,895,1356,716,1354
20,0,2,617,487,759,482,761,334,618,343
21,0,0,406,950,584,941,578,764,403,777
21,0,1,713,1503,887,1509,894,1352,716,1350
21,0,2,616,488,758,482,760,334,618,342
22,0,0,406,956,583,945,577,768,402,782
22,0,1,712,1499,887,1504,894,1347,715,1344
22,0,2,615,487,757,482,760,334,617,343
23,0,0,406,962,582,951,575,774,401,788
23,0,1,712,1493,886,1498,894,1340,715,1337
23,0,2,614,487,756,482,758,334,616,342
24,0,0,405,970,581,958,573,781,399,795
24,0,1,711,1485,886,1490,894,1330,714,1328
24,0,2,614,488,755,482,758,334,615,343
25,0,0,404,979,580,967,571,789,396,804
25,0,1,711,1474,886,1479,893,1318,714,1316
25,0,2,613,488,754,482,757,334,614,343
26,0,0,402,989,578,977,568,798,394,813
26,0,1,710,1462,886,1466,893,1304,713,1302
26,0,2,612,488,754,482,755,334,613,343
27,0,0,402,1000,577,987,566,808,391,824
27,0,1,709,1448,886,1452,893,1288,712,1286
27,0,2,611,488,753,482,755,335,612,343
28,0,0,400,1011,576,998,564,819,389,835
28,0,1,708,1432,886,1437,892,1272,711,1269
28,0,2,610,488,752,483,754,335,611,344
29,0,0,399,1024,575,1010,561,830,386,847
29,0,1,706,1416,885,1422,892,1254,711,1251
29,0,2,609,489,751,483,753,335,611,344
